times_1,times_2,audio_path,num_peaks,fs,delay,dop,echo_doppler,raw_tx,tx_freq_from_filtered_tx_fft,speed,closest_gps_time,diff_from_closest_gps,tx_var,rx_var,five_times_span_tx,ten_times_span_tx,five_times_span_rx,ten_times_span_rx,durations,rx_freq,bat_num,movement_type,keys,png_name,t1i,t1f,t2i,t2f,t3i,t3f
0.00064,0.02368,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,79993.4900541814,NaN,NaN,737282.958143634,9428.35235409926,NaN,NaN,NaN,NaN,NaN,NaN,0.02304,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.03136,0.10304,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80120.6709903633,NaN,NaN,737282.958143634,9428.32163409926,NaN,NaN,NaN,NaN,NaN,NaN,0.07168,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.10944,0.32866,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80148.0231246064,NaN,NaN,737282.958143634,9428.24355409926,NaN,NaN,NaN,NaN,NaN,NaN,0.21922,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.341475,0.38368,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,79968.0157945696,NaN,NaN,737282.958143634,9428.01151909926,NaN,NaN,NaN,NaN,NaN,NaN,0.042205,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.38368,0.40128,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,4,200000,NaN,NaN,NaN,80230.0805556273,NaN,NaN,737282.958143634,9427.96931409926,NaN,NaN,NaN,NaN,NaN,NaN,0.0176,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.45632,0.5088,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80088.6009170448,NaN,NaN,737282.958143634,9427.89667409926,NaN,NaN,NaN,NaN,NaN,NaN,0.05248,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.53056,0.62784,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,79928.5550261906,NaN,NaN,737282.958143634,9427.82243409926,NaN,NaN,NaN,NaN,NaN,NaN,0.0972799999999999,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
0.65472,0.75584,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80024.228028039,NaN,NaN,737282.958143634,9427.69827409926,NaN,NaN,NaN,NaN,NaN,NaN,0.10112,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
5.25376,5.33056,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80143.8755038463,NaN,NaN,737282.958143634,9423.09923409926,NaN,NaN,NaN,NaN,NaN,NaN,0.0768000000000004,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
5.36896,5.44576,C:\Users\yotam\Desktop\ProjectsData\bat04\0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.wav,1,200000,NaN,NaN,NaN,80052.7326373066,NaN,NaN,737282.958143634,9422.98403409926,NaN,NaN,NaN,NaN,NaN,NaN,0.0767999999999995,NaN,4,woods,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724,0140U_U18_08_10_20_22_35.257-U18_08_10_20_22_45.724.png',0,0.5,5.5,9.5,-1,-1
